record_id,Datetime,loc_spec,descr,identity_spec,future_use,loc_spec_english,descr_english,identity_spec_english,future_use_english
THUAS_S001,2025-02-23T09:36:00Z,NA,The glasses slip of my nose really easily. It needs adjusting every other minute.,NA,Might try to add something sticky so it doesn't slide off,NA,The glasses slip off my nose really easily. It needs adjusting every other minute.,NA,Might try to add something sticky so it doesn't slide off.
THUAS_S001,2025-02-23T18:41:00Z,NA,taking of necklace and watch for bouldering,NA,-,NA,Taking off necklace and watch for bouldering.,NA,NA
THUAS_S001,2025-02-23T20:38:00Z,NA,"Stopped bouldering, started to wear necklace and watch again",NA,-,NA,"Stopped bouldering, started to wear necklace and watch again.",NA,NA
THUAS_S001,2025-02-27T14:48:00Z,NA,"working in leisure, put the glasses (like during sleep) near the workplace, not being able to wear them. still wearing other sensors",NA,-,NA,"Working in leisure, put the glasses (like during sleep) near the workplace, not being able to wear them. Still wearing other sensors.",NA,-
THUAS_S001,2025-03-01T09:13:00Z,NA,"going to carnaval not wearing light glasses, still wearing other sensors",NA,-,NA,"Going to carnaval without wearing light glasses, but still wearing other sensors.",NA,This experience will not influence my future use of the light glasses.
THUAS_S002,2025-03-03T17:34:00Z,NA,glasses get very much attention,NA,in public spaces like the supermarket I put the glasses on my head,NA,Glasses get a lot of attention.,NA,"In public spaces like the supermarket, I put the glasses on my head."
THUAS_S002,2025-03-04T20:43:00Z,NA,glasses uncomfortable. I wore them on my head,NA,wore them on my head,NA,Glasses uncomfortable. I wore them on my head.,NA,Wore them on my head.
THUAS_S002,2025-03-05T08:18:00Z,NA,a day full of boardroom meetings. I could not wear the glasses and be taken seriously. I had the glasses on my table besides me,NA,important board meetings are not suitable for wearing the glasses.,NA,A day full of boardroom meetings. I could not wear the glasses and be taken seriously. I had the glasses on my table beside me.,NA,Important board meetings are not suitable for wearing the glasses.
THUAS_S002,2025-03-06T23:29:00Z,"this is more an overall comment, it's quite difficult to keep up with the wear log and the glasses. I was physically not always able to wear them and it was also not possible to fill in the wear log at those times.  overall I was not able to keep up with all data input. it took lots of effort and discipline that I could not keep up.",see previous comment,NA,not wearing them actively and not being able to log it every time,"This is more an overall comment; it's quite difficult to keep up with the wear log and the glasses. I was physically not always able to wear them, and it was also not possible to fill in the wear log at those times. Overall I was not able to keep up with all data input. It took lots of effort and discipline that I could not keep up.",See previous comment.,NA,Not wearing them actively and not being able to log it every time.
THUAS_S003,2025-03-17T01:08:00Z,NA,"ik moest zondag overwerken en daarom ging ik heel last naar bed. belangrijk, omdat ik daardoor wss op maandag en dinsdag eerder moe ben",NA,"ik zal maandag en mss dinsdag eerder moe zijn, omdat ik zo dag veel te last naar bed ging",NA,I had to work overtime on Sunday and therefore I went to bed very late. This is important because I will probably be more tired on Monday and Tuesday as a result.,NA,I will probably be more tired on Monday and maybe Tuesday because I went to bed too late on that day.
