record_id,start,activity_desc_english,activity_desc
THUAS_S003,2025-03-17T17:00:00Z,dinner,dinner
THUAS_S003,2025-03-17T18:00:00Z,TV,tv
THUAS_S003,2025-03-17T19:00:00Z,watching TV,tv
THUAS_S003,2025-03-17T20:00:00Z,TV,tv
THUAS_S003,2025-03-19T12:00:00Z,store,"store, "
THUAS_S003,2025-03-19T13:00:00Z,store,store
THUAS_S003,2025-03-19T14:00:00Z,store,store
THUAS_S003,2025-03-19T15:00:00Z,store,"store, "
THUAS_S003,2025-03-19T18:00:00Z,and 8 (bar), and 8 (bar)
THUAS_S003,2025-03-19T19:00:00Z,bar,bar
THUAS_S003,2025-03-19T20:00:00Z,bar,bar
THUAS_S003,2025-03-19T21:00:00Z,bar,bar
THUAS_S003,2025-03-20T13:00:00Z,Also dark room for presentation.,also dark room for presentation
THUAS_S003,2025-03-21T08:00:00Z,store,store
THUAS_S003,2025-03-21T09:00:00Z,store,store
THUAS_S003,2025-03-21T10:00:00Z,store,"store, "
THUAS_S003,2025-03-23T16:00:00Z,nap, (nap)
THUAS_S005,2025-03-24T08:00:00Z,NA,", "
THUAS_S005,2025-03-24T16:00:00Z,sport indoors,sport indoors
THUAS_S005,2025-03-24T17:00:00Z,sport indoors,"sport indoors, "
THUAS_S005,2025-03-26T16:00:00Z,sport indoors,"sport indoors, "
THUAS_S005,2025-03-26T17:00:00Z,sport indoors,sport indoors
THUAS_S005,2025-03-27T15:00:00Z,sport indoors,"sport indoors, "
THUAS_S005,2025-03-27T16:00:00Z,sport indoors,sport indoors
THUAS_S005,2025-03-28T10:00:00Z,restaurant,restaurant
THUAS_S005,2025-03-28T11:00:00Z,restaurant,restaurant
THUAS_S005,2025-03-28T12:00:00Z,store,store
THUAS_S005,2025-03-28T13:00:00Z,store,store
THUAS_S006,2025-03-31T11:00:00Z,NA,", "
THUAS_S006,2025-03-31T16:00:00Z,store,"store, "
THUAS_S006,2025-04-03T16:00:00Z,restaurant,", restaurant"
THUAS_S006,2025-04-03T17:00:00Z,restaurant,restaurant
THUAS_S006,2025-04-03T18:00:00Z,movie theater,movie theater
THUAS_S006,2025-04-03T19:00:00Z,movie theater,movie theater
THUAS_S006,2025-04-03T20:00:00Z,movie theater,movie theater
THUAS_S006,2025-04-04T09:00:00Z,store,store
THUAS_S006,2025-04-04T16:00:00Z,restaurant,", restaurant"
