record_id,wearlog_place,wearlog_place_english
THUAS_S001,NA,NA
THUAS_S001,nightstand for sleeping,nightstand for sleeping
THUAS_S002,NA,NA
THUAS_S003,NA,NA
THUAS_S005,NA,NA
THUAS_S005,on my night self,on my nightstand
THUAS_S005,on my nightstand,on my nightstand
THUAS_S005,in backpack,in backpack
THUAS_S005,kitchen counter,kitchen counter
THUAS_S005,it is in my pocket because it is raining,it is in my pocket because it is raining
THUAS_S005,kitchen table,kitchen table
THUAS_S006,NA,NA
THUAS_S006,i did not receive the bag. i will put them in a dry area in the bathroom,I did not receive the bag. I will put them in a dry area in the bathroom.
THUAS_S006,on a safe table,on a safe table
THUAS_S006,table,table
THUAS_S006,in front of me towards the PC I'm gaming on. The glasses did not combine comfortable with my headphones,"In front of me, facing the PC I'm gaming on. The glasses were not comfortable to use with my headphones."
THUAS_S007,NA,NA
THUAS_S007,they were clipped to my shirt,they were clipped to my shirt
THUAS_S007,on a chair. i forgot thema afterwards,on a chair. I forgot them afterwards
THUAS_S010,NA,NA
THUAS_S010,"still not wore it today, took of the armband as well. pressed the button, after the shower ill press the button on all three devices","still did not wear it today, took off the armband as well. pressed the button, after the shower I will press the button on all three devices"
THUAS_S010,on the kitchentable,on the kitchen table
THUAS_S010,kitchentable,kitchen table
THUAS_S010,om the table,on the table
THUAS_S011,NA,NA
THUAS_S014,bed drawer,bed drawer
THUAS_S014,on the table,on the table
THUAS_S014,on the drawer,on the drawer
THUAS_S014,drawer,drawer
THUAS_S014,table,table
THUAS_S015,NA,NA
THUAS_S015,in the kitchen on a box,in the kitchen on a box
THUAS_S015,in the bathroom,in the bathroom
THUAS_S016,NA,NA
THUAS_S018,NA,NA
