record_id,redcap_survey_identifier,your_light_behaviour_leba_timestamp,leba_f2_04,leba_f2_05,leba_f2_06,leba_f2_07,leba_f2_08,leba_f2_09,leba_f3_10,leba_f3_11,leba_f3_12,leba_f3_13,leba_f3_14,leba_f4_15,leba_f4_16,leba_f4_17,leba_f4_18,leba_f5_19,leba_f5_20,leba_f5_21,leba_f5_22,leba_f5_23,your_light_behaviour_leba_complete
"THUAS_S001,,""2025-03-03 10:07:28"",4,3,2,2,2,3,5,5,1,1,1,5,5,5,5,1,4,4,3,5,2"
"THUAS_S002,,""2025-03-10 13:41:18"",4,3,2,2,2,2,5,5,3,1,1,3,3,5,3,4,4,4,5,2,2"
"THUAS_S003,,""2025-03-24 08:45:57"",4,3,3,2,2,2,5,4,3,1,1,5,1,5,5,1,1,4,1,3,2"
THUAS_S004,,,,,,,,,,,,,,,,,,,,,,,0
"THUAS_S005,,""2025-03-31 09:16:05"",2,4,2,1,4,2,5,3,2,5,5,5,5,5,5,1,3,4,1,1,2"
"THUAS_S006,,""2025-04-07 10:48:44"",1,3,3,3,3,5,5,5,4,1,1,2,5,3,1,3,5,4,1,3,2"
"THUAS_S007,,""2025-04-14 13:40:56"",4,3,2,2,1,1,3,4,2,1,1,5,1,5,4,1,5,4,1,4,2"
THUAS_S008,,,,,,,,,,,,,,,,,,,,,,,0
THUAS_S009,,,,,,,,,,,,,,,,,,,,,,,0
"THUAS_S010,,""2025-06-10 15:20:54"",2,3,4,2,3,3,4,5,4,2,2,3,5,5,3,4,4,5,1,5,2"
"THUAS_S011,,""2025-05-19 12:10:54"",4,3,2,1,3,2,3,4,1,4,1,1,1,5,4,5,5,4,1,1,2"
THUAS_S012,,,,,,,,,,,,,,,,,,,,,,,0
THUAS_S013,,,,,,,,,,,,,,,,,,,,,,,0
"THUAS_S014,,""2025-07-14 12:43:14"",1,1,4,4,5,5,3,1,1,1,1,5,1,5,1,5,5,1,5,3,2"
"THUAS_S015,,""2025-07-14 14:10:18"",1,2,3,4,5,4,5,5,3,1,1,5,5,5,5,1,1,1,1,2,2"
"THUAS_S016,,""2025-07-18 14:10:31"",3,4,2,2,3,2,5,4,4,1,1,5,1,4,5,4,4,1,1,3,2"
"THUAS_S017,,""2025-09-15 16:28:48"",1,1,4,3,3,4,4,4,3,3,3,3,1,3,1,3,2,1,1,2,2"
"THUAS_S018,,""2025-10-13 11:53:29"",2,2,3,3,5,4,4,3,1,1,1,1,1,5,1,5,5,4,5,2,2"
"THUAS_S019,,""2025-10-09 10:33:47"",2,5,4,2,2,4,5,4,3,1,1,5,5,5,1,1,1,1,1,3,2"
"THUAS_S020,,""2025-10-15 13:06:12"",2,4,4,3,3,2,5,4,2,1,1,1,1,2,1,1,4,1,4,2,2"
