timestamp;lightsource;activity;activity_desc
7-4-2025 0:00;;;
7-4-2025 1:00;;;
7-4-2025 2:00;;;
7-4-2025 3:00;;;
7-4-2025 4:00;;;
7-4-2025 5:00;;;
7-4-2025 6:00;;;
7-4-2025 7:00;;;
7-4-2025 8:00;;;
7-4-2025 9:00;;;
7-4-2025 10:00;;;
7-4-2025 11:00;;;
7-4-2025 12:00;;;
7-4-2025 13:00;L+I+E;5;
7-4-2025 14:00;I+O+E;5;also 4
7-4-2025 15:00;I+E;5;
7-4-2025 16:00;I+E;5;
7-4-2025 17:00;I+E;5;
7-4-2025 18:00;L+O+I+E;5;
7-4-2025 19:00;L+E;5;
7-4-2025 20:00;L+E;5;
7-4-2025 21:00;L+W;2;also 1
7-4-2025 22:00;D;1;
7-4-2025 23:00;D;1;
8-4-2025 0:00;D;1;
8-4-2025 1:00;D;1;
8-4-2025 2:00;D;1;
8-4-2025 3:00;D;1;
8-4-2025 4:00;D;1;
8-4-2025 5:00;S+L;4;also 2
8-4-2025 6:00;L+E;5;
8-4-2025 7:00;L+E+I;5;
8-4-2025 8:00;E+I;5;
8-4-2025 9:00;E+I;5;
8-4-2025 10:00;E+I;5;
8-4-2025 11:00;E+I;5;
8-4-2025 12:00;E+I;5;
8-4-2025 13:00;E+I;5;also 2
8-4-2025 14:00;L+O+E;5;also 4
8-4-2025 15:00;E+I;5;
8-4-2025 16:00;E+I;5;
8-4-2025 17:00;E+I+O+L;5;also 4
8-4-2025 18:00;I+E;5;also 2
8-4-2025 19:00;L+E;2;
8-4-2025 20:00;L+E;2;
8-4-2025 21:00;D;1;
8-4-2025 22:00;D;1;
8-4-2025 23:00;D;1;
9-4-2025 0:00;D;1;
9-4-2025 1:00;D;1;
9-4-2025 2:00;D;1;
9-4-2025 3:00;D;1;
9-4-2025 4:00;D;1;
9-4-2025 5:00;D;1;
9-4-2025 6:00;D;1;
9-4-2025 7:00;D+E+I;1;also 2
9-4-2025 8:00;D+E+I+L;2;
9-4-2025 9:00;I+O+E;3;
9-4-2025 10:00;I;2;
9-4-2025 11:00;I+E;5;
9-4-2025 12:00;I+E;5;
9-4-2025 13:00;I+O+E;7;also 5
9-4-2025 14:00;E+I;5;
9-4-2025 15:00;I+O+E;7;also 5
9-4-2025 16:00;E+I;5;
9-4-2025 17:00;E+I;5;
9-4-2025 18:00;E+I;5;
9-4-2025 19:00;O+E+I;3;also 2
9-4-2025 20:00;E+L;5;
9-4-2025 21:00;E+L;5;
9-4-2025 22:00;E+L;2;
9-4-2025 23:00;D;1;
10-4-2025 0:00;D;1;
10-4-2025 1:00;D;1;
