record_id,redcap_repeat_instrument,redcap_repeat_instance,redcap_survey_identifier,form_1_timestamp,form_1_complete,wear_log_timestamp,wearlog_type,wearlog_event,wearlog_off,reason,wearlog_on,wearlog_bed,radius,wearlog_bag,wearlog_place,wearlog_motion,wearlog_past,wearlog_bp,wearlog_past_off,wearlog_past_on,wearlog_past_sleep,radius_past_time,radius_past,radius_past_back,wearlog_past_bag,wearlog_past_location,wearlog_past_motion,uuid,startdate,enddate,scheduledate,status,supplementaldata,serializedresult,wear_log_complete
THUAS_S015,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
THUAS_S015,wear_log,1.0,,,,,0.0,2.0,,,,2025-07-07 22:58,,,,,,,,,,,,,,,,DF42DB40-5B74-11F0-BE7D-65DE8480E23F,2025-07-07 22:56:36,2025-07-07 22:58:12,,1.0,"{    ""devicemanufacturer"": ""Apple"",    ""deviceplatform"": ""iOS"",    ""deviceversion"": ""18.3.1"",    ""syncdate"": ""2025-07-07 22:58:13"",    ""utcTime"": ""2025-07-07 20:56:36.852571Z"",    ""projectLanguageSelected"": ""en-US"",    ""timezone"": ""CEST"",    ""appversion"": ""2.3.5"",    ""buildnumber"": ""180"",    ""configversion"": ""4"",    ""devicemodel"": ""iPhone14,5"",    ""percentComplete"": ""15""  }",result.zip,0.0
THUAS_S015,wear_log,2.0,,,,,0.0,1.0,,,2025-07-08 08:21,,,,,,,,,,,,,,,,,CDD5B310-5BC3-11F0-8EF3-0FA1EFD6C89C,2025-07-08 08:21:37,2025-07-08 08:22:08,,1.0,"{    ""devicemanufacturer"": ""Apple"",    ""deviceplatform"": ""iOS"",    ""deviceversion"": ""18.3.1"",    ""syncdate"": ""2025-07-08 08:22:08"",    ""utcTime"": ""2025-07-08 06:21:37.857366Z"",    ""projectLanguageSelected"": ""en-US"",    ""timezone"": ""CEST"",    ""appversion"": ""2.3.5"",    ""buildnumber"": ""180"",    ""configversion"": ""4"",    ""devicemodel"": ""iPhone14,5"",    ""percentComplete"": ""15""  }",result.zip,0.0
THUAS_S015,wear_log,3.0,,,,,0.0,2.0,2025-07-09 00:24,,,2025-07-09 00:25,,,,,,,,,,,,,,,,588C7260-5C4A-11F0-9D09-D153CC8EE946,2025-07-09 00:24:43,2025-07-09 00:25:15,,1.0,"{    ""devicemanufacturer"": ""Apple"",    ""deviceplatform"": ""iOS"",    ""deviceversion"": ""18.3.1"",    ""syncdate"": ""2025-07-09 00:25:15"",    ""utcTime"": ""2025-07-08 22:24:43.142246Z"",    ""projectLanguageSelected"": ""en-US"",    ""timezone"": ""CEST"",    ""appversion"": ""2.3.5"",    ""buildnumber"": ""180"",    ""configversion"": ""4"",    ""devicemodel"": ""iPhone14,5"",    ""percentComplete"": ""20""  }",result.zip,0.0
THUAS_S015,wear_log,4.0,,,,,0.0,0.0,2025-07-09 19:35,2.0,,,,0.0,in the kitchen on a box ,0.0,,,,,,,,,,,,7530B4E0-5CF3-11F0-B9EE-751D22F3E9E1,2025-07-09 20:35:16,2025-07-09 20:36:23,,1.0,"{    ""devicemanufacturer"": ""Apple"",    ""deviceplatform"": ""iOS"",    ""deviceversion"": ""18.3.1"",    ""syncdate"": ""2025-07-09 20:36:24"",    ""utcTime"": ""2025-07-09 18:35:16.142312Z"",    ""projectLanguageSelected"": ""en-US"",    ""timezone"": ""CEST"",    ""appversion"": ""2.3.5"",    ""buildnumber"": ""180"",    ""configversion"": ""4"",    ""devicemodel"": ""iPhone14,5"",    ""percentComplete"": ""34""  }",result.zip,0.0
THUAS_S015,wear_log,5.0,,,,,0.0,2.0,,,,2025-07-09 23:15,,,,,,,,,,,,,,,,C4BDB060-5D09-11F0-83EA-D1041AB4CD15,2025-07-09 23:14:58,2025-07-09 23:15:22,,1.0,"{    ""devicemanufacturer"": ""Apple"",    ""deviceplatform"": ""iOS"",    ""deviceversion"": ""18.3.1"",    ""syncdate"": ""2025-07-09 23:15:23"",    ""utcTime"": ""2025-07-09 21:14:58.533821Z"",    ""projectLanguageSelected"": ""en-US"",    ""timezone"": ""CEST"",    ""appversion"": ""2.3.5"",    ""buildnumber"": ""180"",    ""configversion"": ""4"",    ""devicemodel"": ""iPhone14,5"",    ""percentComplete"": ""15""  }",result.zip,0.0
THUAS_S015,wear_log,6.0,,,,,0.0,0.0,2025-07-13 11:09,2.0,,,,0.0,in the bathroom where I also am ,0.0,,,,,,,,,,,,14D90EC0-5FC9-11F0-9D4B-8B972A445419,2025-07-13 11:09:29,2025-07-13 11:10:18,,1.0,"{    ""devicemanufacturer"": ""Apple"",    ""deviceplatform"": ""iOS"",    ""deviceversion"": ""18.3.1"",    ""syncdate"": ""2025-07-13 11:10:19"",    ""utcTime"": ""2025-07-13 09:09:29.132205Z"",    ""projectLanguageSelected"": ""en-US"",    ""timezone"": ""CEST"",    ""appversion"": ""2.3.5"",    ""buildnumber"": ""180"",    ""configversion"": ""4"",    ""devicemodel"": ""iPhone14,5"",    ""percentComplete"": ""34""  }",result.zip,0.0
THUAS_S015,wear_log,7.0,,,,,1.0,,,,,,,,,,0.0,0.0,2025-07-13 14:00,,,,,,0.0,I put the necklace and glasses in a black drawer bescause I am at north sea jazz,0.0,B4FA0F20-5FED-11F0-9671-D5819A5B71F4,2025-07-13 15:31:39,2025-07-13 15:33:09,,1.0,"{    ""devicemanufacturer"": ""Apple"",    ""deviceplatform"": ""iOS"",    ""deviceversion"": ""18.3.1"",    ""syncdate"": ""2025-07-13 15:33:09"",    ""utcTime"": ""2025-07-13 13:31:39.666826Z"",    ""projectLanguageSelected"": ""en-US"",    ""timezone"": ""CEST"",    ""appversion"": ""2.3.5"",    ""buildnumber"": ""180"",    ""configversion"": ""4"",    ""devicemodel"": ""iPhone14,5"",    ""percentComplete"": ""34""  }",result.zip,0.0
THUAS_S015,wear_log,8.0,,,,,0.0,0.0,2025-07-14 12:13,2.0,,,,0.0,in the bathroom ,0.0,,,,,,,,,,,,2458C480-609B-11F0-B41F-919FA3BC3B58,2025-07-14 12:13:09,2025-07-14 12:13:48,,1.0,"{    ""devicemanufacturer"": ""Apple"",    ""deviceplatform"": ""iOS"",    ""deviceversion"": ""18.3.1"",    ""syncdate"": ""2025-07-14 12:13:48"",    ""utcTime"": ""2025-07-14 10:13:09.448196Z"",    ""projectLanguageSelected"": ""en-US"",    ""timezone"": ""CEST"",    ""appversion"": ""2.3.5"",    ""buildnumber"": ""180"",    ""configversion"": ""4"",    ""devicemodel"": ""iPhone14,5"",    ""percentComplete"": ""34""  }",result.zip,0.0
THUAS_S015,wear_log,9.0,,,,,0.0,1.0,,,2025-07-14 12:40,,,,,,,,,,,,,,,,,C1CEBA30-60A0-11F0-B41F-919FA3BC3B58,2025-07-14 12:53:21,2025-07-14 12:53:48,,1.0,"{    ""devicemanufacturer"": ""Apple"",    ""deviceplatform"": ""iOS"",    ""deviceversion"": ""18.3.1"",    ""syncdate"": ""2025-07-14 12:53:48"",    ""utcTime"": ""2025-07-14 10:53:21.107189Z"",    ""projectLanguageSelected"": ""en-US"",    ""timezone"": ""CEST"",    ""appversion"": ""2.3.5"",    ""buildnumber"": ""180"",    ""configversion"": ""4"",    ""devicemodel"": ""iPhone14,5"",    ""percentComplete"": ""15""  }",result.zip,0.0
