timestamp;lightsource;activity;activity_desc;
6-10-2025 0:00;;;;
6-10-2025 1:00;;;;
6-10-2025 2:00;;;;
6-10-2025 3:00;;;;
6-10-2025 4:00;;;;
6-10-2025 5:00;;;;
6-10-2025 6:00;;;;
6-10-2025 7:00;;;;
6-10-2025 8:00;;;;
6-10-2025 9:00;;;;
6-10-2025 10:00;;;;
6-10-2025 11:00;;;;
6-10-2025 12:00;;;;
6-10-2025 13:00;;;;
6-10-2025 14:00;;;;
6-10-2025 15:00;l+e;5;;
6-10-2025 16:00;l+e;5;;
6-10-2025 17:00;l+e;5;;
6-10-2025 18:00;o+l;4;also 2;
6-10-2025 19:00;l+e;2;;
6-10-2025 20:00;l+s;2;also 4;
6-10-2025 21:00;l;5;;
6-10-2025 22:00;s+l;4;also 2;
6-10-2025 23:00;l;2;;
7-10-2025 0:00;l+e;2;;
7-10-2025 1:00;d;1;;
7-10-2025 2:00;d;1;;
7-10-2025 3:00;d;1;;
7-10-2025 4:00;d;1;;
7-10-2025 5:00;d+w;1;;
7-10-2025 6:00;d+w;1;;
7-10-2025 7:00;d+w;1;;
7-10-2025 8:00;w;1;also 2;
7-10-2025 9:00;i;2;;
7-10-2025 10:00;i;2;;
7-10-2025 11:00;o+l;4;also 5;
7-10-2025 12:00;l+i;5;;
7-10-2025 13:00;l+i;5;;
7-10-2025 14:00;l+i;5;;
7-10-2025 15:00;l+i;5;;
7-10-2025 16:00;l+i;5;;
7-10-2025 17:00;o+l;4;also 5;
7-10-2025 18:00;l+o;4;also 2;
7-10-2025 19:00;l;2;;
7-10-2025 20:00;l;2;;
7-10-2025 21:00;l;2;;
7-10-2025 22:00;l+e;2;;
7-10-2025 23:00;l+e;2;;
8-10-2025 0:00;l+e;2;;
8-10-2025 1:00;l+e;2;also 1;
8-10-2025 2:00;d+e;1;;
8-10-2025 3:00;d+e;1;;
8-10-2025 4:00;d+e;1;;
8-10-2025 5:00;d+e;1;;
8-10-2025 6:00;d+w;1;;
8-10-2025 7:00;d+w;1;;
8-10-2025 8:00;d+w;1;also 2;
8-10-2025 9:00;l+i;2;also 4;
8-10-2025 10:00;l+i+e;5;;
8-10-2025 11:00;l+i+e;5;;
8-10-2025 12:00;l+i+e;5;;
8-10-2025 13:00;l+i+e;5;also 4;
8-10-2025 14:00;l+i;4;also 5;
8-10-2025 15:00;l+i+e;5;;
8-10-2025 16:00;l+i+e;5;;
8-10-2025 17:00;l+i+e;5;;
8-10-2025 18:00;l+i+e;5;also 4;
8-10-2025 19:00;l+s;4;also 2;
8-10-2025 20:00;l+s;2;;
8-10-2025 21:00;l;2;;
8-10-2025 22:00;l+e;2;;
8-10-2025 23:00;l+e;2;;
9-10-2025 0:00;l+e;2;;
9-10-2025 1:00;l+e+d;2;also 1;
9-10-2025 2:00;d;1;;
9-10-2025 3:00;d;1;;
9-10-2025 4:00;d;1;;
9-10-2025 5:00;d;1;;
9-10-2025 6:00;d+w;1;;
9-10-2025 7:00;d+w+i;1;also 2;
9-10-2025 8:00;l+o+i;2;also 4;
9-10-2025 9:00;l+i+e;5;;
9-10-2025 10:00;l+i+e;5;;
9-10-2025 11:00;l+i+e;5;;
9-10-2025 12:00;l+i+e;5;;
9-10-2025 13:00;l+i+e;5;;
9-10-2025 14:00;l+i+e;5;;
9-10-2025 15:00;l+i+e;5;;
9-10-2025 16:00;l+i+e;5;;
9-10-2025 17:00;l+i+e;5;;
9-10-2025 18:00;s+l;4;also 2;
9-10-2025 19:00;l;2;;
9-10-2025 20:00;l;2;;
9-10-2025 21:00;l;2;;
9-10-2025 22:00;l;2;;
9-10-2025 23:00;l+e;2;;
10-10-2025 0:00;l+e;2;;
10-10-2025 1:00;d;1;;
10-10-2025 2:00;d;1;;
10-10-2025 3:00;d;1;;
10-10-2025 4:00;d;1;;
10-10-2025 5:00;d;1;;
10-10-2025 6:00;d+w;1;;
10-10-2025 7:00;d+w;1;;
10-10-2025 8:00;w+i;1;also 2;
10-10-2025 9:00;i+o;2;;
10-10-2025 10:00;i+o;2;also 4;
10-10-2025 11:00;l+i;5;;
10-10-2025 12:00;l+i;5;;
10-10-2025 13:00;l+i;5;;
10-10-2025 14:00;l+i;5;;
10-10-2025 15:00;l+i+o;5;also 4;
10-10-2025 16:00;e+i;2;;
10-10-2025 17:00;e+i+l;2;;
10-10-2025 18:00;l+i;2;;
10-10-2025 19:00;l+i;2;;
10-10-2025 20:00;l+s+i;2;also 4;
10-10-2025 21:00;l+i;4;also 2;
10-10-2025 22:00;l;2;;
10-10-2025 23:00;l;2;;
11-10-2025 0:00;l+e;2;;
11-10-2025 1:00;l+e;2;1:30 - 3:30 sleeping on chair;
11-10-2025 2:00;l+e;2;1:30 - 3:30 sleeping on chair;
11-10-2025 3:00;l+e+d;2;1:30 - 3:30 sleeping on chair;
11-10-2025 4:00;d;1;;
11-10-2025 5:00;d;1;;
11-10-2025 6:00;d+w;1;;
11-10-2025 7:00;w;1;;
11-10-2025 8:00;w;1;also 2;
11-10-2025 9:00;i;2;;
11-10-2025 10:00;i;2;;
11-10-2025 11:00;i;2;;
11-10-2025 12:00;i;2;;
11-10-2025 13:00;i+o;4;also 7;
11-10-2025 14:00;o;7;gardening;
11-10-2025 15:00;o;7;gardening, also 2;gardening
11-10-2025 16:00;l;2;;
11-10-2025 17:00;l;2;;
11-10-2025 18:00;l+e;2;;
11-10-2025 19:00;e;2;;
11-10-2025 20:00;e+l;2;;
11-10-2025 21:00;l+e;2;;
11-10-2025 22:00;l+e;2;;
11-10-2025 23:00;l+e;2;;
12-10-2025 0:00;l+e;2;;
12-10-2025 1:00;l+e;2;;
12-10-2025 2:00;l+e+d;2;also 1;
12-10-2025 3:00;d;1;computer monitor was on during sleep time;
12-10-2025 4:00;d;1;;
12-10-2025 5:00;d;1;;
12-10-2025 6:00;d+w;1;;
12-10-2025 7:00;w;1;;
12-10-2025 8:00;i;1;also 2;
12-10-2025 9:00;i+o;2;;
12-10-2025 10:00;i;8;;
12-10-2025 11:00;i+o;8;also 4;
12-10-2025 12:00;i;4;also 5;
12-10-2025 13:00;i+o;5;also 4;
12-10-2025 14:00;i;2;sensor not worn but placed in same room;
12-10-2025 15:00;i;2;sensor not worn but placed in same room;
12-10-2025 16:00;i;2;sensor not worn but placed in same room;
12-10-2025 17:00;i;2;sensor not worn but placed in same room;
12-10-2025 18:00;i+e+l;2;sensor not worn but placed in same room;
12-10-2025 19:00;l+e;2;sensor not worn but placed in same room;
12-10-2025 20:00;l+e;2;sensor not worn but placed in same room;
12-10-2025 21:00;l+e;2;sensor not worn but placed in same room;
12-10-2025 22:00;l+e;2;sensor not worn but placed in same room;
12-10-2025 23:00;l+e;2;sensor not worn but placed in same room;
13-10-2025 0:00;l+e;2;;
13-10-2025 1:00;l+e+w;1;;
13-10-2025 2:00;d;1;;
13-10-2025 3:00;d;1;;
13-10-2025 4:00;d;1;;
13-10-2025 5:00;d;1;;
13-10-2025 6:00;d+w;1;;
13-10-2025 7:00;w;1;;
13-10-2025 8:00;w+i;2;;
13-10-2025 9:00;i;2;;
13-10-2025 10:00;o+l+e;4;also 5;
13-10-2025 11:00;l+e;5;;
13-10-2025 12:00;l+e;5;;
13-10-2025 13:00;l+o+i;5;also 4;
13-10-2025 14:00;l+o+i;4;also 5;
13-10-2025 15:00;l+e;5;;
